pitch_type,hash,gender,soccRole,age_group,age
11-a-side,5654103485b27c9f4e923c50ca18e5ab,male,FW,38+,52.84052019164955
7-9-a-side,60faf5552fd0676c1fb426e450013006,male,,18-37,24.082135523613964
7-9-a-side,7e98a17764eef1584f1fec87e7a8182c,male,CM,18-37,33.08418891170431
5-a-side,7c812694b209c87c9f29447feb6c8f56,male,FW,<14,8.928131416837783
7-9-a-side,4d0ec9b39b8a1626ed99c1e79fcb3e77,male,FW,<14,8.928131416837783
7-9-a-side,329d962687e3bb589520f5df4f56857e,female,FB,18-37,25.960301163586585
7-9-a-side,8cafee54bc537c8717bea84c6ed07049,female,FW,18-37,22.537987679671456
11-a-side,112111f23ca20ed5eeed1f3e6f5909c6,male,GK,38+,49.275838466803556
11-a-side,893a6ce00d5690a7926495272ad4b4f6,male,CM,<14,13.637234770704996
11-a-side,ade4e9b4c35949bf8b0b762254c8600e,male,CB,14-17,15.359342915811089
7-9-a-side,a4785c04132b6753f2188defe441d993,male,FW,<14,13.177275838466803
11-a-side,b5736e966ed8c216a88d162f46c93c34,male,FW,18-37,26.5927446954141
11-a-side,2cbdacb47fe293a76017d25c98ac7c46,male,CM,14-17,17.305954825462013
5-a-side,ab28f298c238347572557dd6e72a1d92,male,CM,14-17,17.305954825462013
11-a-side,772bfc8b3b13eb9d3848baecf007e510,female,CB,14-17,16.50924024640657
11-a-side,0912b3f5d482ebdefe4efb3e72944b29,male,FB,18-37,33.14989733059548
7-9-a-side,aa4e070ef4b31dfdde91f2d3c4453815,male,CM,<14,11.627652292950033
11-a-side,2b92de144e339846a539be68807cc1e0,male,FB,18-37,18.16290212183436
11-a-side,08d5f81b9c9feaf6122ef9afcb10c8cf,male,FB,14-17,17.492128678986994
11-a-side,88f6e7310f1d1b27a04c9a3d32d37c1a,male,CM,18-37,24.16974674880219
11-a-side,619ed33eb7c3ad35ba7b13621ea3a924,male,FW,18-37,18.105407255304584
11-a-side,f220390ba16bd448889d3c5864103c89,male,CM,14-17,15.197809719370294
11-a-side,dbf9084b849bba7d4d9a1284f8126c8e,male,FW,14-17,14.447638603696099
11-a-side,86d3fe9f63883ff16008d9c3f5937bdb,male,CM,18-37,20.92539356605065
11-a-side,630421721b3779df5497a65a52ae5dbe,male,FB,18-37,22.581793292265573
11-a-side,829ac5c9ebbbbdab52ddc7201f533056,male,FB,<14,12.678986995208762
7-9-a-side,07a041ff774513b15120c7cbc9a60a04,male,FB,<14,12.678986995208762
