time_played,touches,passes,shots,crosses,km_covered,walking,standing,max_speed,running_distance,sprints,sprints_distance,accelerations,decelerations,high_intensity_running,hash
540,108,72,30,6,53.3761074,1217.676,76.962,28.20719145,52081.46940000001,150,1182.522,0,30,4101.798000000001,5654103485b27c9f4e923c50ca18e5ab
60,32,28,4,0,6.5812737,100.671,0.064,28.96111475,6480.538699999999,29,266.549,1,4,625.944,60faf5552fd0676c1fb426e450013006
42,24,18,5,1,3.5933775,333.019,10.651,22.81856991,3249.7075000000004,2,11.379,0,0,66.373,7e98a17764eef1584f1fec87e7a8182c
508,166,137,28,1,21.2830979,2698.738,246.25099999999998,22.11445346,18338.1089,1,4.149,2,1,190.454,7c812694b209c87c9f29447feb6c8f56
238,103,88,12,3,13.8475183,637.1759999999999,6.383,23.42554139,13203.9593,6,22.154,0,1,243.498,4d0ec9b39b8a1626ed99c1e79fcb3e77
55,13,10,2,1,2.6754549,318.234,26.243,21.08502,2330.9779000000003,0,0.0,2,0,22.516,329d962687e3bb589520f5df4f56857e
55,16,13,3,0,3.4732304,317.276,33.987,19.6312,3121.9674,0,0.0,3,0,36.415,8cafee54bc537c8717bea84c6ed07049
45,6,6,0,0,2.3659,199.976,6.88,22.87813934,2159.044,1,3.744,1,0,43.734,112111f23ca20ed5eeed1f3e6f5909c6
367,94,92,1,1,39.9885589,728.386,25.469,32.74222166,39234.7039,130,1206.363,8,9,3683.9509999999996,893a6ce00d5690a7926495272ad4b4f6
2328,859,855,3,1,210.5802629,12012.344,247.411,32.57867464,198320.5079,629,5894.333,20,49,15788.652,ade4e9b4c35949bf8b0b762254c8600e
415,464,378,78,8,35.835248199999995,1504.113,116.66600000000001,29.51307661,34214.4692,88,693.409,16,9,2978.306,a4785c04132b6753f2188defe441d993
1788,958,889,46,23,188.1085429,6323.927,242.587,34.20714805,181542.0289,856,9375.231,48,98,22833.958,b5736e966ed8c216a88d162f46c93c34
424,226,218,8,0,40.9177831,1734.085,47.254999999999995,32.52248136,39136.4431,110,1305.776,1,11,3289.844,2cbdacb47fe293a76017d25c98ac7c46
60,2,1,1,0,0.8403402,246.411,1.52,20.58279407,592.4092,0,0.0,0,0,3.919,ab28f298c238347572557dd6e72a1d92
4344,1259,1249,8,2,395.9386854,14436.627,388.204,33.3397136,381113.8544,897,8887.368,29,63,26063.241,772bfc8b3b13eb9d3848baecf007e510
1611,480,471,8,1,141.31645609999998,7804.547,156.891,32.62455559,133355.0181,376,4084.065,24,41,10895.573,0912b3f5d482ebdefe4efb3e72944b29
86,107,94,7,6,7.9137986,421.972,19.575,23.5790784,7472.2516000000005,6,28.164,3,0,245.009,aa4e070ef4b31dfdde91f2d3c4453815
185,39,39,0,0,17.9635436,1237.054,51.183,31.4536796,16675.3066,57,609.2570000000001,1,13,1611.9270000000001,2b92de144e339846a539be68807cc1e0
84,3,3,0,0,5.5776522,622.566,11.657,23.27100962,4943.4292000000005,4,33.212,4,0,115.485,08d5f81b9c9feaf6122ef9afcb10c8cf
180,43,42,1,0,7.1465855000000005,889.906,75.17,29.4961147,6181.5095,22,258.878,1,4,547.332,88f6e7310f1d1b27a04c9a3d32d37c1a
405,119,111,5,3,26.909925,1257.559,77.75,30.66399421,25574.615999999998,79,946.452,4,9,2193.239,619ed33eb7c3ad35ba7b13621ea3a924
90,1,1,0,0,3.8849177,436.847,59.698,24.45248278,3388.3727000000003,5,43.59,1,0,129.529,f220390ba16bd448889d3c5864103c89
350,167,147,18,2,23.3030928,1253.516,104.827,32.62849287,21944.7498,101,1035.1290000000001,10,15,2373.967,dbf9084b849bba7d4d9a1284f8126c8e
1321,524,493,22,9,143.8627079,4747.217000000001,102.052,33.68435637,139013.4389,886,9505.898,31,70,22680.288,86d3fe9f63883ff16008d9c3f5937bdb
648,157,140,17,2,57.9001102,1862.2930000000001,69.567,31.57590623,55968.2502,201,2027.6640000000002,11,11,5174.424,630421721b3779df5497a65a52ae5dbe
200,178,171,7,0,17.732637699999998,359.262,17.771,26.83690301,17355.6047,24,139.7,4,3,854.4159999999999,829ac5c9ebbbbdab52ddc7201f533056
130,4,4,0,0,0.3240795,97.15,5.178,15.26881651,221.7515,0,0.0,0,0,0.0,07a041ff774513b15120c7cbc9a60a04
744,428,360,59,9,30.5864878,2245.772,145.157,24.20172288,28195.558800000003,11,53.269999999999996,26,1,444.815,ab5c73f4bba0d05ce706c446bc1e276f
920,509,420,73,16,45.3483977,3003.861,157.564,25.84868889,42186.9727,37,205.19400000000002,14,1,1387.887,5ac939a21b41c519910981858e17d506
286,288,276,9,3,24.6841645,1075.607,119.469,33.08840915,23489.088499999998,66,609.543,4,7,1843.8249999999998,51d3ce10a50020f32c897491aceb3ed4
3343,1101,1011,43,47,321.07105,9385.037,217.40800000000002,34.24905808,311468.605,1461,14050.324,73,153,34998.263,e47bc5023301db76a181833f04a389f1
270,130,127,3,0,7.9598123,710.058,34.879999999999995,27.8697718,7214.8743,4,55.296,0,0,213.035,6f998544b452cfc4b95ee7d4d4db5c2a
